Ticker,Company Name
BREN,PT Barito Renewables Energy Tbk
BBCA,PT Bank Central Asia Tbk
TPIA,PT Chandra Asri Pacific Tbk
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk
AMMN,PT Amman Mineral Internasional Tbk
BMRI,PT Bank Mandiri (Persero) Tbk
BYAN,PT Bayan Resources Tbk.
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
DSSA,PT Dian Swastatika Sentosa Tbk
BBNI,PT Bank Negara Indonesia (Persero) Tbk
ASII,PT Astra International Tbk
DNET,PT Indoritel Makmur Internasional Tbk.
PANI,PT Pantai Indah Kapuk Dua Tbk
ICBP,PT Indofood CBP Sukses Makmur Tbk
AMRT,PT Sumber Alfaria Trijaya Tbk
BRIS,PT Bank Syariah Indonesia Tbk
ADRO,PT Adaro Energy Indonesia Tbk
BRPT,PT Barito Pacific Tbk
CUAN,PT Petrindo Jaya Kreasi Tbk
DCII,PT DCI Indonesia Tbk
MSIN,PT MNC Digital Entertainment Tbk
UNTR,PT United Tractors Tbk
SMMA,PT Sinar Mas Multiartha Tbk
ISAT,PT Indosat Ooredoo Hutchison Tbk
HMSP,PT Hanjaya Mandala Sampoerna Tbk
UNVR,PT Unilever Indonesia Tbk
GEMS,PT Golden Energy Mines Tbk
KLBF,PT Kalbe Farma Tbk.
CPIN,PT Charoen Pokphand Indonesia Tbk
INDF,PT Indofood Sukses Makmur Tbk
MYOR,PT Mayora Indah Tbk
GOTO,PT GoTo Gojek Tokopedia Tbk
MEGA,PT Bank Mega Tbk
MBMA,PT Merdeka Battery Materials Tbk.
BELI,PT Global Digital Niaga Tbk
MDKA,PT Merdeka Copper Gold Tbk
NCKL,PT Trimegah Bangun Persada Tbk
MTEL,PT Dayamitra Telekomunikasi Tbk.
ADMR,PT Adaro Minerals Indonesia Tbk
BNGA,PT Bank CIMB Niaga Tbk
PGEO,PT Pertamina Geothermal Energy Tbk
INKP,PT Indah Kiat Pulp & Paper Tbk
TOWR,PT Sarana Menara Nusantara Tbk.
BNLI,PT Bank Permata Tbk
TBIG,PT Tower Bersama Infrastructure Tbk
MIKA,PT Mitra Keluarga Karyasehat Tbk
FILM,PT MD Pictures Tbk
CMRY,PT Cisarua Mountain Dairy Tbk
ARTO,PT Bank Jago Tbk
INCO,PT Vale Indonesia Tbk
SILO,PT Siloam International Hospitals Tbk
BUMI,PT Bumi Resources Tbk
PGAS,PT Perusahaan Gas Negara Tbk
JSMR,PT Jasa Marga (Persero) Tbk
TCPI,PT Transcoal Pacific Tbk
PNBN,PT Bank Pan Indonesia Tbk
ANTM,PT Aneka Tambang Tbk
NISP,PT Bank OCBC NISP Tbk
GGRM,PT Gudang Garam Tbk
SRTG,PT Saratoga Investama Sedaya Tbk
PTBA,PT Bukit Asam Tbk
SRAJ,PT Sejahteraraya Anugrahjaya Tbk
MEDC,PT Medco Energi Internasional Tbk
EXCL,PT XL Axiata Tbk
ITMG,PT Indo Tambangraya Megah Tbk
AVIA,PT Avia Avian Tbk
AKRA,PT AKR Corporindo Tbk
MAPI,PT. Mitra Adiperkasa Tbk
CASA,PT Capital Financial Indonesia Tbk
SMGR,PT Semen Indonesia (Persero) Tbk
BSDE,PT Bumi Serpong Damai Tbk
MAPA,PT Map Aktif Adiperkasa Tbk
MKPI,PT Metropolitan Kentjana Tbk
BDMN,PT Bank Danamon Indonesia Tbk
BTPN,PT Bank BTPN Tbk
CTRA,PT Ciputra Development Tbk
BINA,PT Bank Ina Perdana Tbk
PWON,PT Pakuwon Jati Tbk
EMTK,PT Elang Mahkota Teknologi Tbk
INTP,PT Indocement Tunggal Prakarsa Tbk
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk
BRMS,PT Bumi Resources Minerals Tbk
BBHI,PT Allo Bank Indonesia Tbk
BBTN,PT Bank Tabungan Negara (Persero) Tbk
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk
MCOL,PT Prima Andalan Mandiri Tbk
HEAL,PT Medikaloka Hermina Tbk
FAPA,PT FAP Agri Tbk
ULTJ,PT Ultrajaya Milk Industry & Trading Company Tbk
STTP,PT Siantar Top Tbk
JPFA,PT Japfa Comfeed Indonesia Tbk
CNMA,PT Nusantara Sejahtera Raya Tbk
CMNT,PT Cemindo Gemilang Tbk
WIKA,PT Wijaya Karya (Persero) Tbk
IMPC,PT Impack Pratama Industri Tbk
KPIG,PT MNC Land Tbk
BNII,PT Bank Maybank Indonesia Tbk
HRUM,PT Harum Energy Tbk
BSIM,PT Bank Sinarmas Tbk
FREN,PT Smartfren Telecom Tbk
FASW,PT Fajar Surya Wisesa Tbk
TAPG,PT Triputra Agro Persada Tbk
BBSI,PT Krom Bank Indonesia Tbk
BFIN,PT BFI Finance Indonesia Tbk
MIDI,PT Midi Utama Indonesia Tbk
CLEO,PT Sariguna Primatirta Tbk
ESSA,PT ESSA Industries Indonesia Tbk.
GOOD,PT Garudafood Putra Putri Jaya Tbk
PTRO,PT Petrosea Tbk
MPRO,PT Maha Properti Indonesia Tbk
ACES,PT Aspirasi Hidup Indonesia Tbk
BANK,PT Bank Aladin Syariah Tbk
PNLF,PT Panin Financial Tbk
BSSR,PT Baramulti Suksessarana Tbk
MLBI,PT Multi Bintang Indonesia Tbk
APIC,PT Pacific Strategic Financial Tbk
AALI,PT Astra Agro Lestari Tbk
SMSM,PT Selamat Sempurna Tbk
SMAR,PT Sinar Mas Agro Resources and Technology Tbk
BBKP,PT Bank KB Bukopin Tbk
INPP,PT Indonesian Paradise Property Tbk
BUKA,PT Bukalapak.com Tbk.
ABMM,PT ABM Investama Tbk
TSPC,PT Tempo Scan Pacific Tbk
ADMF,PT Adira Dinamika Multi Finance Tbk
AUTO,PT Astra Otoparts Tbk
RISE,PT Jaya Sukses Makmur Sentosa Tbk
POWR,PT Cikarang Listrindo Tbk
LIFE,PT MSIG Life Insurance Indonesia Tbk
SMRA,PT Summarecon Agung Tbk
BJBR,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
SSMS,PT Sawit Sumbermas Sarana Tbk.
MORA,PT Mora Telematika Indonesia Tbk
CITA,PT Cita Mineral Investindo Tbk
BMAS,PT Bank Maspion Indonesia Tbk
BTPS,PT Bank BTPN Syariah Tbk
STAA,PT Sumber Tani Agung Resources Tbk
PLIN,PT Plaza Indonesia Realty Tbk
PRAY,PT Famon Awal Bros Sedaya Tbk
BBMD,PT Bank Mestika Dharma Tbk
DSNG,PT Dharma Satya Nusantara Tbk
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk
TMAS,PT Temas Tbk.
JRPT,"PT Jaya Real Property, Tbk."
SOHO,PT Soho Global Health Tbk
CMNP,PT Citra Marga Nusaphala Persada Tbk
MFIN,PT Mandala Multifinance Tbk
DMAS,PT Puradelta Lestari Tbk
EDGE,PT Indointernet Tbk.
SCMA,PT Surya Citra Media Tbk
PSAB,PT J Resources Asia Pasifik Tbk
